sessionId,itemInSession,artist,firstName,gender,lastName,length,level,location,song,userId
583,0,Harmonia,Ryan,M,Smith,655.77751,free,"San Jose-Sunnyvale-Santa Clara, CA",Sehr kosmisch,26
583,1,The Prodigy,Ryan,M,Smith,260.07465,free,"San Jose-Sunnyvale-Santa Clara, CA",The Big Gundown,26
583,2,Train,Ryan,M,Smith,205.45261,free,"San Jose-Sunnyvale-Santa Clara, CA",Marry Me,26
563,0,,Wyatt,M,Scott,,free,"Eureka-Arcata-Fortuna, CA",,9
521,0,,Austin,M,Rosales,,free,"New York-Newark-Jersey City, NY-NJ-PA",,12
597,0,Sony Wonder,Samuel,M,Gonzalez,218.06975,free,"Houston-The Woodlands-Sugar Land, TX",Blackbird,61
597,1,,Samuel,M,Gonzalez,,free,"Houston-The Woodlands-Sugar Land, TX",,61
602,0,,,,,,paid,,,
602,1,,Tegan,F,Levine,,paid,"Portland-South Portland, ME",,80
602,2,Van Halen,Tegan,F,Levine,289.38404,paid,"Portland-South Portland, ME",Best Of Both Worlds (Remastered Album Version),80
602,3,Magic Sam,Tegan,F,Levine,132.04853,paid,"Portland-South Portland, ME",Call Me If You Need Me,80
602,4,Edward Sharpe & The Magnetic Zeros,Tegan,F,Levine,306.31138,paid,"Portland-South Portland, ME",Home,80
602,5,Usher featuring will.i.am,Tegan,F,Levine,395.72853,paid,"Portland-South Portland, ME",OMG,80
602,6,,Tegan,F,Levine,,paid,"Portland-South Portland, ME",,80
602,7,Helen Reddy,Tegan,F,Levine,176.50893,paid,"Portland-South Portland, ME",Candle On The Water,80
602,8,Taylor Swift,Tegan,F,Levine,201.06404,paid,"Portland-South Portland, ME",Our Song,80
602,9,Sean Paul,Tegan,F,Levine,245.34159,paid,"Portland-South Portland, ME",Baby Boy [feat. Beyonce],80
582,0,Soundgarden,Lily,F,Koch,272.19546,paid,"Chicago-Naperville-Elgin, IL-IN-WI",Black Hole Sun,15
602,10,The Killers,Tegan,F,Levine,360.75057,paid,"Portland-South Portland, ME",Human,80
582,1,Amy Winehouse,Lily,F,Koch,165.11955,paid,"Chicago-Naperville-Elgin, IL-IN-WI",Addicted,15
582,2,Steve Anderson,Lily,F,Koch,265.06404,paid,"Chicago-Naperville-Elgin, IL-IN-WI",Air,15
582,3,Rob Zombie,Lily,F,Koch,220.13342,paid,"Chicago-Naperville-Elgin, IL-IN-WI",Superbeast,15
