userId,sessionId,artist,firstName,gender,itemInSession,lastName,length,level,location,song
26,583,Harmonia,Ryan,M,0,Smith,655.77751,free,"San Jose-Sunnyvale-Santa Clara, CA",Sehr kosmisch
26,583,The Prodigy,Ryan,M,1,Smith,260.07465,free,"San Jose-Sunnyvale-Santa Clara, CA",The Big Gundown
26,583,Train,Ryan,M,2,Smith,205.45261,free,"San Jose-Sunnyvale-Santa Clara, CA",Marry Me
9,563,,Wyatt,M,0,Scott,,free,"Eureka-Arcata-Fortuna, CA",
12,521,,Austin,M,0,Rosales,,free,"New York-Newark-Jersey City, NY-NJ-PA",
61,597,Sony Wonder,Samuel,M,0,Gonzalez,218.06975,free,"Houston-The Woodlands-Sugar Land, TX",Blackbird
61,597,,Samuel,M,1,Gonzalez,,free,"Houston-The Woodlands-Sugar Land, TX",
80,602,,Tegan,F,1,Levine,,paid,"Portland-South Portland, ME",
80,602,Van Halen,Tegan,F,2,Levine,289.38404,paid,"Portland-South Portland, ME",Best Of Both Worlds (Remastered Album Version)
80,602,Magic Sam,Tegan,F,3,Levine,132.04853,paid,"Portland-South Portland, ME",Call Me If You Need Me
80,602,Edward Sharpe & The Magnetic Zeros,Tegan,F,4,Levine,306.31138,paid,"Portland-South Portland, ME",Home
80,602,Usher featuring will.i.am,Tegan,F,5,Levine,395.72853,paid,"Portland-South Portland, ME",OMG
80,602,,Tegan,F,6,Levine,,paid,"Portland-South Portland, ME",
80,602,Helen Reddy,Tegan,F,7,Levine,176.50893,paid,"Portland-South Portland, ME",Candle On The Water
80,602,Taylor Swift,Tegan,F,8,Levine,201.06404,paid,"Portland-South Portland, ME",Our Song
80,602,Sean Paul,Tegan,F,9,Levine,245.34159,paid,"Portland-South Portland, ME",Baby Boy [feat. Beyonce]
15,582,Soundgarden,Lily,F,0,Koch,272.19546,paid,"Chicago-Naperville-Elgin, IL-IN-WI",Black Hole Sun
80,602,The Killers,Tegan,F,10,Levine,360.75057,paid,"Portland-South Portland, ME",Human
15,582,Amy Winehouse,Lily,F,1,Koch,165.11955,paid,"Chicago-Naperville-Elgin, IL-IN-WI",Addicted
15,582,Steve Anderson,Lily,F,2,Koch,265.06404,paid,"Chicago-Naperville-Elgin, IL-IN-WI",Air
15,582,Rob Zombie,Lily,F,3,Koch,220.13342,paid,"Chicago-Naperville-Elgin, IL-IN-WI",Superbeast
15,582,Deadmau5 & Kaskade,Lily,F,4,Koch,595.56526,paid,"Chicago-Naperville-Elgin, IL-IN-WI",I Remember
49,606,,Chloe,F,0,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",
26,607,Shania Twain,Ryan,M,0,Smith,213.7073,free,"San Jose-Sunnyvale-Santa Clara, CA",Don't Be Stupid (You Know I Love You)
26,607,Los Campesinos,Ryan,M,1,Smith,138.10893,free,"San Jose-Sunnyvale-Santa Clara, CA",We throw parties_ you throw knives
49,606,Ill Nino,Chloe,F,1,Cuevas,188.9171,paid,"San Francisco-Oakland-Hayward, CA",How Can I Live (Spanish version) (Album Version)
49,606,Mia X,Chloe,F,2,Cuevas,236.09424,paid,"San Francisco-Oakland-Hayward, CA",Thugs Like Me
49,606,Rage Against The Machine,Chloe,F,3,Cuevas,314.40934,paid,"San Francisco-Oakland-Hayward, CA",Killing In The Name
49,606,Asia 2001,Chloe,F,4,Cuevas,150.30812,paid,"San Francisco-Oakland-Hayward, CA",Epilogue
49,606,Muse,Chloe,F,5,Cuevas,228.93669,paid,"San Francisco-Oakland-Hayward, CA",Endlessly
88,591,,Mohammad,M,0,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",
49,606,Rise Against,Chloe,F,6,Cuevas,221.17832,paid,"San Francisco-Oakland-Hayward, CA",Torches
88,591,,Mohammad,M,1,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",
88,591,,Mohammad,M,2,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",
88,591,Modest Mouse,Mohammad,M,3,Rodriguez,259.47383,free,"Sacramento--Roseville--Arden-Arcade, CA",The Good Times Are Killing Me
49,606,Marc Anthony,Chloe,F,7,Cuevas,314.43546,paid,"San Francisco-Oakland-Hayward, CA",Te Conozco Bien
49,606,Regina Spektor,Chloe,F,8,Cuevas,191.08526,paid,"San Francisco-Oakland-Hayward, CA",The Calculation (Album Version)
80,611,Nina Sky,Tegan,F,0,Levine,101.92934,paid,"Portland-South Portland, ME",Goodbye (Interlude)
30,324,Five Iron Frenzy,Avery,F,0,Watkins,236.09424,paid,"San Jose-Sunnyvale-Santa Clara, CA",Canada
30,324,,Avery,F,1,Watkins,,paid,"San Jose-Sunnyvale-Santa Clara, CA",
80,611,,Tegan,F,1,Levine,,paid,"Portland-South Portland, ME",
30,324,Kudai,Avery,F,2,Watkins,256.62649,paid,"San Jose-Sunnyvale-Santa Clara, CA",Ven
30,324,Pulp,Avery,F,3,Watkins,260.8322,paid,"San Jose-Sunnyvale-Santa Clara, CA",Do You Remember The First Time?
80,611,,Tegan,F,2,Levine,,paid,"Portland-South Portland, ME",
30,324,SinÃÂ©ad O'Connor,Avery,F,4,Watkins,282.51383,paid,"San Jose-Sunnyvale-Santa Clara, CA",I Want Your (Hands On Me)
80,611,Paul Brown,Tegan,F,3,Levine,232.54159,paid,"Portland-South Portland, ME",Chill Out
30,324,Lasgo,Avery,F,5,Watkins,220.13342,paid,"San Jose-Sunnyvale-Santa Clara, CA",Something (Radio Edit)
80,611,Patty Loveless,Tegan,F,4,Levine,188.13342,paid,"Portland-South Portland, ME",What's A Broken Heart
30,324,Eddie Vedder,Avery,F,6,Watkins,236.30322,paid,"San Jose-Sunnyvale-Santa Clara, CA",Society
80,611,Rogue Wave,Tegan,F,5,Levine,234.13506,paid,"Portland-South Portland, ME",Christians In Black
30,324,Muse,Avery,F,7,Watkins,304.84853,paid,"San Jose-Sunnyvale-Santa Clara, CA",Uprising
80,611,Amanda Blank,Tegan,F,6,Levine,175.09832,paid,"Portland-South Portland, ME",Might Like You Better
30,324,The Smiths,Avery,F,8,Watkins,162.24608,paid,"San Jose-Sunnyvale-Santa Clara, CA",Sheila Take A Bow
80,611,Old 97's,Tegan,F,7,Levine,231.28771,paid,"Portland-South Portland, ME",Victoria (LP Version)
30,324,Selena,Avery,F,9,Watkins,316.42077,paid,"San Jose-Sunnyvale-Santa Clara, CA",Dreaming Of You
80,611,Fat Joe,Tegan,F,8,Levine,267.10159,paid,"Portland-South Portland, ME",What's Luv? (Featuring Ja-Rule & Ashanti) (Explicit Album Version)
30,324,Stars,Avery,F,10,Watkins,193.33179,paid,"San Jose-Sunnyvale-Santa Clara, CA",Soft Revolution
80,611,James Blunt,Tegan,F,9,Levine,298.4224,paid,"Portland-South Portland, ME",Same Mistake  (Album Version)
30,324,Mayday Parade,Avery,F,11,Watkins,203.28444,paid,"San Jose-Sunnyvale-Santa Clara, CA",Bruised And Scarred (Album Version)
80,611,Die Mooskirchner,Tegan,F,10,Levine,169.29914,paid,"Portland-South Portland, ME",Frisch und g'sund
30,324,Gorillaz,Avery,F,12,Watkins,211.77424,paid,"San Jose-Sunnyvale-Santa Clara, CA",Rockit
80,611,,Tegan,F,11,Levine,,paid,"Portland-South Portland, ME",
80,611,Toby Keith,Tegan,F,12,Levine,208.48281,paid,"Portland-South Portland, ME",Should've Been A Cowboy
30,324,Modest Mouse,Avery,F,13,Watkins,284.18567,paid,"San Jose-Sunnyvale-Santa Clara, CA",Little Motel
80,611,Future Rock,Tegan,F,13,Levine,239.90812,paid,"Portland-South Portland, ME",Gears
30,324,Noel Pointer,Avery,F,14,Watkins,259.7873,paid,"San Jose-Sunnyvale-Santa Clara, CA",Superwoman (Where Were You When I Needed You) (Digitally Remastered)
