song,firstName,lastName
Sehr kosmisch,Ryan,Smith
The Big Gundown,Ryan,Smith
Marry Me,Ryan,Smith
Blackbird,Samuel,Gonzalez
Best Of Both Worlds (Remastered Album Version),Tegan,Levine
Call Me If You Need Me,Tegan,Levine
Home,Tegan,Levine
OMG,Tegan,Levine
Candle On The Water,Tegan,Levine
Our Song,Tegan,Levine
Baby Boy [feat. Beyonce],Tegan,Levine
Black Hole Sun,Lily,Koch
Human,Tegan,Levine
Addicted,Lily,Koch
Air,Lily,Koch
Superbeast,Lily,Koch
I Remember,Lily,Koch
Don't Be Stupid (You Know I Love You),Ryan,Smith
We throw parties_ you throw knives,Ryan,Smith
How Can I Live (Spanish version) (Album Version),Chloe,Cuevas
Thugs Like Me,Chloe,Cuevas
Killing In The Name,Chloe,Cuevas
Epilogue,Chloe,Cuevas
Endlessly,Chloe,Cuevas
Torches,Chloe,Cuevas
The Good Times Are Killing Me,Mohammad,Rodriguez
Te Conozco Bien,Chloe,Cuevas
The Calculation (Album Version),Chloe,Cuevas
Goodbye (Interlude),Tegan,Levine
Canada,Avery,Watkins
Ven,Avery,Watkins
Do You Remember The First Time?,Avery,Watkins
I Want Your (Hands On Me),Avery,Watkins
Chill Out,Tegan,Levine
Something (Radio Edit),Avery,Watkins
What's A Broken Heart,Tegan,Levine
Society,Avery,Watkins
Christians In Black,Tegan,Levine
Uprising,Avery,Watkins
Might Like You Better,Tegan,Levine
Sheila Take A Bow,Avery,Watkins
Victoria (LP Version),Tegan,Levine
Dreaming Of You,Avery,Watkins
What's Luv? (Featuring Ja-Rule & Ashanti) (Explicit Album Version),Tegan,Levine
Soft Revolution,Avery,Watkins
Same Mistake  (Album Version),Tegan,Levine
Bruised And Scarred (Album Version),Avery,Watkins
Frisch und g'sund,Tegan,Levine
Rockit,Avery,Watkins
Should've Been A Cowboy,Tegan,Levine
Little Motel,Avery,Watkins
Gears,Tegan,Levine
Superwoman (Where Were You When I Needed You) (Digitally Remastered),Avery,Watkins
Forgotten,Tegan,Levine
Everlong,Rylan,George
Hunter,Avery,Watkins
The Way I Loved You,Tegan,Levine
Longevity,Rylan,George
Fell In Love With A Girl,Avery,Watkins
You're The One,Tegan,Levine
Lies,Avery,Watkins
Got The Feelin',Rylan,George
Do You Call My Name,Tegan,Levine
Gangsta's Paradise (LP Version),Rylan,George
Misery Business (Album Version),Avery,Watkins
Itchy Feet,Avery,Watkins
Gypsy,Rylan,George
Dans Ma Bulle (Edit Radio - Live 2006),Tegan,Levine
Give It Up,Rylan,George
Love Remains (Home Demo),Tegan,Levine
Here Without You,Avery,Watkins
Toss The Feathers (Instrumental) ( LP Version ),Rylan,George
Big,Tegan,Levine
I Am The Killer (Album Version),Avery,Watkins
Don't Call It A Comeback (Album Version),Rylan,George
Hey Daddy (Daddy's Home),Tegan,Levine
No Siento Penas,Rylan,George
Kill The Director [Radio Edit],Avery,Watkins
I Kissed A Girl,Tegan,Levine
The Darkest Nights,Rylan,George
Undo,Avery,Watkins
I Fought The Law (LP Version),Tegan,Levine
Influencia,Rylan,George
Too Much,Tegan,Levine
All Hands Against His Own,Tegan,Levine
Blaues Blau,Avery,Watkins
Friends_ Lovers Or Nothing,Tegan,Levine
A Song For Sleeping (LP Version),Rylan,George
Head Into Tomorrow,Avery,Watkins
Smile Version Revisited (Mark Ronson Remix) (Explicit),Rylan,George
A Gentle Heart,Tegan,Levine
Un DÃÂ­a Normal,Avery,Watkins
Ska,Rylan,George
The Heretic Anthem (Album Version),Avery,Watkins
Tell Her Tonight,Tegan,Levine
Suicide,Rylan,George
Stella By Starlight,Tegan,Levine
Nothin' On You [feat. Bruno Mars] (Album Version),Avery,Watkins
I And Love And You,Rylan,George
Caprice viennois op.2,Tegan,Levine
Joshua's Song (1991 Digital Remaster),Avery,Watkins
Hips Don't Lie,Avery,Watkins
The Funeral (Album Version),Rylan,George
Ambrosia,Tegan,Levine
Einfach Ich,Avery,Watkins
Higher Messiah,Tegan,Levine
If I Know You,Avery,Watkins
In Heaven,Avery,Watkins
Wounded Soul,Tegan,Levine
Bold As Love,Avery,Watkins
The Great ndian Desert,Avery,Watkins
Face Of Fear,Tegan,Levine
What You Know,Tegan,Levine
Hurt,Tegan,Levine
Me Lleva Tiempo,Avery,Watkins
So What's New,Tegan,Levine
Flight Of Yuri Gagarin,Avery,Watkins
Mooncalf,Tegan,Levine
My Immortal (Album Version),Avery,Watkins
Velouria,Avery,Watkins
Bad Actors,Jahiem,Miles
Bitches Ain't Shit,Tegan,Levine
Unwell (Album Version),Avery,Watkins
Feiticeira (LP Version),Tegan,Levine
Without You (Album Version),Avery,Watkins
Map Of The Problematique,Tegan,Levine
Kotona kaikuu,Avery,Watkins
One And Only,Tegan,Levine
Gunpowder,Avery,Watkins
Had Stupid,Avery,Watkins
If Hollywood Don't Need You,Avery,Watkins
Are You Famous?,Avery,Watkins
Good Morning Susie Soho,Avery,Watkins
She Moves In Her Own Way,Avery,Watkins
You Get What You Give,Avery,Watkins
Where Eagles Have Been,Avery,Watkins
Spilt Needles (Album),Avery,Watkins
Reasons Why,Avery,Watkins
Crazy,Avery,Watkins
Love Of The Loveless,Avery,Watkins
Sehr kosmisch,Avery,Watkins
Oh No! (album version),Avery,Watkins
The Real Slim Shady,Avery,Watkins
REIPPAINA KÃÂYMME REKKAIN ALLE,Avery,Watkins
You're The One,Avery,Watkins
White Sand,Avery,Watkins
Tan bi (Heat_ Breeze_ Tenderness) / Chaleur_ brise_ tendress,Avery,Watkins
Red Right Ankle,Avery,Watkins
Savage Circle,Avery,Watkins
The One-Eyed Turk,Avery,Watkins
Set In Stone,Avery,Watkins
Let's Go Crazy (LP Version),Kate,Harrell
She's Coming Home,Kate,Harrell
Numb,Kate,Harrell
Breakdown,Avery,Watkins
Let There Be Lite (Album Version),Kate,Harrell
Set Down Your Glass,Avery,Watkins
Nice Weather For Ducks,Kate,Harrell
Tale Of Two Cities,Avery,Watkins
Magic,Kate,Harrell
Take No Shhh (Original Mix),Avery,Watkins
VIKING MAN,Kate,Harrell
I Gotta Feeling,Kate,Harrell
